oid,traffic_sign_id,traffic_sign_code,traffic_sign_text,status,traffic_sign_source,traffic_sign_sector,status_date,last_update,date_import
#1,1007015,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל כלי רכב ו' וערבי חג מ-13:00 עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#2,1007073,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל כלי רכב ו' וערבי חג מ-13:00 עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#3,1007099,439,7.2 מותרת פריקה וטעינה בלבד שהייה עד 15 דקות,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#4,1007175,439,1.1 מותרת פריקה וטעינה בלבד שהייה עד 15 דקות,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#5,1007180,439,10.3 מותרת פריקה וטעינה בלבד 2 מקומות,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#6,1007210,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"",  ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל כלי רכב ו' וערבי חג מ- 13:00 עד 24:00 במוצ""ש  ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#7,1007212,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"",  ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל כלי רכב ו' וערבי חג מ- 13:00 עד 24:00 במוצ""ש  ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#8,1007290,439,מקום המתנה לפריקה וטעינה בלבד שהייה עד 15 דקות,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#9,1001285,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד בימים א'-ה' משעה 08:00 עד 20:00 ביום ו' וערבי חג משעה 08:00 עד 13:00 רכב חונה בניגוד לחוק-יגרר ביתר השעות מותרת החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,16/10/2017,17/10/2017,22/12/2022 0:51
#10,1003153,439,בתוקף בימי א' - ו' משעה 0800 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,16/10/2017,17/10/2017,22/12/2022 0:51
#11,1005163,439,בתוקף לרכב מעל 4 טון בימים א'-ה' מ-14:00 עד 16:00 כולל פריקה וטעינה,קיים,סקר יזום,פריקה וטעינה,09/11/2017,12/11/2017,22/12/2022 0:51
#12,1005623,439,פרט לפריקה וטעינה בימי א' עד ו' משעה 07:00 עד 15:00,קיים,סקר יזום,פריקה וטעינה,23/11/2017,23/11/2017,22/12/2022 0:51
#13,1007047,439,מותרת פריקה וטעינה בלבד שהייה עד 15 דקות,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
