oid,meters,hours_in_week_prika,hours_x_meters
1,12,133,1596
2,12,133,1596
3,12,144,1728
4,12,144,1728
5,12,144,1728
6,12,133,1596
7,12,133,1596
8,12,144,1728
9,12,65,780
10,12,144,1728
11,12,144,1728
12,12,48,576
13,12,144,1728
14,12,144,1728
15,12,144,1728
16,12,133,1596
17,12,144,1728
18,12,144,1728
19,12,144,1728
20,12,144,1728
21,12,133,1596
22,12,133,1596
23,12,133,1596
24,12,144,1728
25,12,133,1596
26,12,144,1728
27,12,144,1728
28,12,144,1728
29,12,144,1728
30,12,144,1728
31,12,144,1728
32,12,144,1728
33,12,144,1728
34,18,18,324
35,12,49,588
36,12,144,1728
37,12,144,1728
38,12,144,1728
39,12,144,1728
40,12,24,288
41,6,36,216
42,25,30,750
43,12,60,720
44,12,39,468
45,12,39,468
46,24,42,1008
47,12,34,408
48,9.5,46,437
49,12,50,600
50,12,56,672
51,23,144,3312
52,12,20,240
53,12,44,528
54,12,144,1728
55,12,34,408
56,12,50,600
57,12,144,1728
58,12,24,288
59,12,30,360
60,12,45,540
61,11,54,594
62,12,144,1728
63,12,144,1728
64,12,55,660
65,12,144,1728
66,12,36,432
67,12,144,1728
68,12,144,1728
69,12,144,1728
70,12,45,540
71,12,20,240
72,12,144,1728
73,12,144,1728
74,12,144,1728
75,12,60,720
76,12,47,558
77,10,23,230
78,12,47,558
79,12,144,1728
80,12,20,240
81,12,47,558
82,12,47,558
83,12,47,558
84,12,47,558
85,12,47,564
86,12,47,558
87,12,47,558
88,7,144,1008
89,12,144,1728
90,12,18,216
91,12,18,216
92,17,20,340
93,12,20,240
94,12,20,240
95,18,144,2592
96,6,22,132
97,18,45,810
98,18,100,1800
99,12,34,408
100,12,144,1728
101,12,39,468
102,12,144,1728
103,12,144,1728
104,12,144,1728
105,12,144,1728
106,10,144,1440
107,12,144,1728
108,12,22,264
109,12,23,270
110,12,30,360
111,12,42,504
112,12,144,1728
113,12,144,1728
114,10,144,1440
115,25,45,1125
116,12,22,264
117,12,22,264
118,12,22,264
119,12,22,264
120,12,40,480
121,12,144,1728
122,12,22,264
123,50.96570026,12,612
124,32.43663882,22,714
125,31.09185435,22,684
126,12,22,264
127,12,56,672
128,12,36,432
129,12,20,240
130,12,104,1248
131,12,15,180
132,12,24,288
133,10,36,360
134,12,36,432
135,12,23,270
136,12,144,1728
137,12,34,408
138,12,30,360
139,11,50,550
140,18,50,900
141,12,144,1728
142,12,36,432
143,12,34,408
144,12,104,1248
145,12,30,360
146,12,32,384
147,12,144,1728
148,12,144,1728
149,12,45,540
150,12,18,216
151,12,18,216
152,12,18,216
153,12,18,216
154,12,18,216
155,12,144,1728
156,12,144,1728
157,12,25,300
158,12,144,1728
159,12,45,540
160,16,40,640
161,12,34,408
162,12,56,672
163,12,27,324
164,10,12,120
165,35,48,1680
166,10,34,340
167,12,21,252
168,12,24,288
169,12,36,432
170,12,144,1728
172,24,35,840
173,12,40,480
174,12,35,420
175,12,20,240
176,15,33,495
177,6,34,204
178,6,30,180
179,6,30,180
180,6,34,204
181,6,30,180
182,6,34,204
183,6,30,180
184,6,30,180
185,6,30,180
186,6,34,204
187,6,34,204
188,6,34,204
189,6,34,204
190,12,144,1728
191,9,144,1296
192,6,33,198
193,12,35,420
194,12,42,504
195,12,66,792
196,18,28,504
197,12,36,432
198,12,144,1728
199,12,12,144
200,12,35,420
201,12,56,672
202,12,36,432
203,12,27,324
204,12,50,600
205,12,50,600
206,12,50,600
207,23,36,828
208,12,34,408
209,12,18,216
210,24,29,684
211,12,30,360
212,12,30,360
213,9,144,1296
214,12,34,408
215,18,47,846
216,12,36,432
217,13,40,520
218,12,39,468
219,14,49,686
220,12,45,540
221,12,133,1596
222,12,144,1728
223,3,36,108
224,12,22,264
225,18,45,810
226,21,144,3024
227,12,40,480
228,12,144,1728
229,12,34,408
230,12,144,1728
231,12,30,360
232,12,144,1728
233,12,25,300
234,12,144,1728
235,12,144,1728
236,60,24,1440
237,12,120,1440
238,12,144,1728
239,12,35,420
240,12,54,648
241,12,40,480
242,10,30,300
243,12,50,600
244,12,34,408
245,12,48,570
246,12,45,540
247,12,72,864
248,12,33,390
249,8,35,280
250,12,33,390
251,10,35,350
252,12,46,552
253,12,30,360
254,12,40,480
255,12,36,432
256,12,40,480
257,12,33,396
258,6,24,144
259,6,24,144
260,12,30,360
261,12,40,480
262,11,50,550
263,20,46,920
264,11,50,550
265,12,50,600
266,12,42,504
267,12,52,624
268,12,55,660
269,12,56,672
270,12,44,528
271,12,56,672
272,12,45,540
273,12,36,432
274,11,55,605
275,12,56,672
276,12,50,600
277,12,24,288
278,12,44,528
279,12,50,600
280,12,30,360
281,12,51,612
282,12,35,420
283,12,38,456
284,12,35,420
285,12,40,480
286,6,30,180
287,25,50,1250
288,12,30,360
289,6,30,180
290,12,35,420
291,12,35,420
292,12,35,420
293,12,46,552
294,12,34,408
295,18,55,990
296,12,50,600
297,6,48,288
298,12,18,216
299,12,56,672
300,30,46,1380
301,12,68,816
302,12,50,600
303,12,45,540
304,30,40,1200
305,16,34,544
306,12,30,360
307,12,30,360
308,12,30,360
309,12,38,450
310,6,61,366
311,10,60,600
312,12,60,720
313,12,40,480
314,12,23,270
315,12,49,588
316,12,30,360
317,12,47,564
318,12,34,408
319,12,45,540
320,18,56,1008
321,6,34,204
322,12,50,600
323,9.5,46,437
324,12,144,1728
325,20,40,800
326,12,42,504
327,7,35,245
328,12,105,1260
329,8,50,400
330,12,30,360
331,12,50,600
332,6,51,306
333,24,61,1464
334,12,45,540
335,10,30,300
336,12,34,408
337,12,61,732
338,12,36,432
339,12,50,600
340,18,39,702
341,10,30,300
342,12,50,600
343,12,46,552
344,12,30,360
345,12,43,516
346,12,42,504
347,12,56,672
348,7,55,385
349,40,69,2760
350,18,73,1314
351,8,15,120
352,18,46,828
353,12,40,480
354,12,42,504
355,12,46,552
356,12,42,504
357,24,45,1080
358,24,45,1080
359,12,40,480
360,12,144,1728
361,12,36,432
362,12,35,420
363,13,42,546
364,12,27,324
365,10,33,330
366,6,10,60
367,20,35,700
368,12,34,408
369,16,42,672
370,6,48,288
371,12,48,576
372,12,40,480
373,12,40,480
374,18,30,540
375,12,36,432
376,12,144,1728
377,12,144,1728
378,12,144,1728
379,12,144,1728
380,12,144,1728
381,12,144,1728
382,12,144,1728
383,12,144,1728
384,12,144,1728
385,12,144,1728
386,10,66,660
387,12,144,1728
388,12,144,1728
389,20,18,360
390,12,144,1728
391,12,35,420
392,12,40,474
393,12,144,1728
394,12,40,480
395,12,25,300
396,12,30,360
397,12,144,1728
398,12,60,720
399,12,60,720
400,14,30,420
401,10,23,230
402,10,23,230
403,10,23,230
404,12,144,1728
405,12,144,1728
406,12,144,1728
407,12,47,558
408,12,20,240
409,12,144,1728
410,12,15,180
411,12,61,732
412,12,28,336
413,12,20,240
414,12,52,624
415,12,54,648
416,12,144,1728
417,12,48,576
418,12,40,480
419,12,54,648
420,12,144,1728
421,12,144,1728
422,12,36,432
423,12,19,225
424,12,144,1728
425,12,144,1728
426,12,46,552
427,17.40300554,18,313
428,90.1290661,18,1622
429,12,144,1728
430,12,22,264
431,12,144,1728
432,12,24,288
433,12,22,264
434,12,22,264
435,33.56636083,12,403
436,38.07249357,22,838
437,12,22,264
438,12,144,1728
439,12,40,480
440,12,50,600
441,12,20,240
442,12,104,1248
443,12,40,480
444,30,60,1800
445,12,48,576
446,12,19,225
447,12,19,225
448,12,11,132
449,12,144,1728
450,12,40,480
451,12,40,480
452,12,40,480
453,10,66,660
454,14,35,490
455,12,144,1728
456,12,19,225
457,10,36,360
458,12,30,360
459,12,18,216
460,12,18,216
461,12,18,216
462,12,60,720
463,25,25,625
464,12,25,300
465,12,25,300
466,12,144,1728
467,12,144,1728
468,12,68,816
469,12,42,504
470,8,30,240
471,8,30,240
472,12,144,1728
473,12,85,1020
474,12,34,408
475,12,69,828
476,40,69,2760
477,12,34,408
478,12,34,408
479,12,34,408
480,12,34,408
481,12,27,324
482,9,25,225
483,12,25,300
484,15,24,360
485,12,12,144
488,12,40,480
489,30,54,1620
490,12,57,684
491,16,48,768
492,12,38,456
493,12,34,408
494,6,34,204
495,6,34,204
496,6,34,204
497,6,34,204
498,6,30,180
499,18,144,2592
500,6,34,204
501,12,34,408
502,6,30,180
503,12,41,492
504,12,34,408
505,12,34,408
506,12,144,1728
507,12,144,1728
508,6,34,204
509,6,30,180
510,6,34,204
511,12,78,936
512,12,78,936
513,43.50341337,18,783
514,6,30,180
515,6,34,204
516,12,40,480
517,12,40,480
518,12,56,672
519,39.80778556,22,876
520,12,35,420
521,12,34,408
522,12,47,564
523,12,60,720
524,12,35,420
525,7.5,40,300
526,18,61,1098
527,12,25,300
528,10,34,340
529,12,72,864
530,6,144,864
531,12,50,600
532,24,55,1320
533,15,45,675
534,12,24,288
535,12,40,480
536,12,40,480
537,12,24,288
538,9,10,90
539,12,18,216
540,12,12,144
541,6,30,180
542,12,28,336
543,12,45,540
544,12,50,600
545,10,30,300
546,12,34,408
547,9,42,378
548,12,25,300
549,11,49,539
550,12,49,588
551,24,36,864
552,15,49,735
553,12,45,540
554,12,40,480
555,12,50,600
556,12,54,648
557,12,34,408
558,12,34,408
559,18,34,612
560,12,20,240
561,12,35,420
562,12,35,420
563,12,50,600
564,12,56,672
565,12,50,600
566,24,144,3456
567,12,50,600
568,12,50,600
569,8,22,176
570,12,35,420
571,12,35,420
572,12,55,660
573,24,54,1296
574,12,35,420
575,12,50,600
576,12,50,600
577,12,50,600
578,28,34,952
579,11,24,264
580,15,57,855
581,12,42,504
582,12,30,360
583,12,40,480
584,12,46,552
585,12,56,672
586,10,40,400
587,6,37,222
588,12,35,420
589,12,35,420
590,12,35,420
591,12,30,360
592,12,45,540
593,12,30,360
594,12,56,672
595,12,56,672
596,12,50,600
597,12,50,600
598,12,30,360
599,7,30,210
600,12,40,480
601,12,40,480
602,12,40,480
603,21,35,735
604,12,25,300
605,12,40,480
606,6,56,336
607,12,68,816
